Species	Formula	CAS	Inchi	Enthalpy	T(K)_Enthalpy	E_mean	E_min	E_max	Pre-exponential_factor	Order_factor	Method	Origin	Reference	Type_of_surface	Description
H2CCO	C2H2O	463-51-4	InChI=1S/C2H2O/c1-2-3/h1H2	-48.579±0.15	298	2800±840	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
H2CCO	C2H2O	463-51-4	InChI=1S/C2H2O/c1-2-3/h1H2	-48.579±0.15	298	2200	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH2+CO The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
H2CCO+	C2H2O+	64999-16-2	InChI=1S/C2H2O/c1-2-3/h1H2/q+1	885.29±0.15	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H3	C2H3	2669-89-8	InChI=1S/C2H3/c1-2/h1H,2H2	296.58±0.45	298	2800±840	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2H3	C2H3	2669-89-8	InChI=1S/C2H3/c1-2/h1H,2H2	296.58±0.45	298	3037	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H2 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H3+	C2H3+	14604-48-9	InChI=1S/C2H3/c1-2/h1H,2H2/q+1	1122.34±0.67	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2N2H+	C2N2H+	NoData	InChI=1S/C2HN2/c3-1-2-4/h3H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C3H2	C3H2	16165-40-5	InChI=1S/C3H2/c1-2-3-1/h1-2H	476.976	298	5900±1770	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
c-C3H2	C3H2	16165-40-5	InChI=1S/C3H2/c1-2-3-1/h1-2H	476.976	298	3387	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
t-C3H2	C3H2	2008-19-7	InChI=1S/C3H2/c1-3-2/h1-2H	543	300	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C3H2+	C3H2+	85398-75-0	InChI=1S/C3H2/c1-2-3-1/h1-2H/q+1	1382	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC3N+	C3HN+	85398-68-1	InChI=1S/C3HN/c1-2-3-4/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H	C4H	53561-65-2	InChI=1S/C4H/c1-3-4-2/h1H	780±50	298	3737	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3H+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4H-	C4H-	NoData	InChI=1S/C4H/c1-3-4-2/h1H/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4H+	C4H+	NoData	InChI=1S/C4H/c1-3-4-2/h1H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4N	C4N	129066-33-7	InChI=1S/C4N/c1-2-3-4-5	NoData	NoData	4000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3N+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4N+	C4N+	NoData	InChI=1S/C4N/c1-2-3-4-5/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4P	C4P	NoData	InChI=1S/C4P/c1-2-3-4-5	NoData	NoData	7500	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4+P The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4P+	C4P+	NoData	InChI=1S/C4P/c1-2-3-4-5/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C4S	C4S	121180-87-8	InChI=1S/C4S/c1-2-3-4-5	NoData	NoData	4300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C3S+C The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C4S+	C4S+	NoData	InChI=1S/C4S/c1-2-3-4-5/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5	C5	12595-82-3	InChI=1S/C5/c1-3-5-4-2	1072.112±8	298	4000	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C4 + C. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C5-	C5-	64886-36-8	InChI=1S/C5/c1-3-5-4-2/q-1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C5+	C5+	NoData	InChI=1S/C5/c1-3-5-4-2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2NH+	CH2NH+	2053-29-4	InChI=1S/CH3N/c1-2/h2H,1H2/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCOOH	CH2O2	64-18-6	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)	-378.49±0.25	298	5570	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
HCOOH+	CH2O2+	50614-05-6	InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/q+1	722.5±1.4	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2OH	CH2OH	2597-43-5	InChI=1S/CH3O/c1-2/h2H,1H2	-17±0.44	298	4400±1320	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH2OH	CH2OH	2597-43-5	InChI=1S/CH3O/c1-2/h2H,1H2	-17±0.44	298	5084	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH3OH - H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH2PH	CH2PH	61183-53-7	InChI=1S/CH3P/c1-2/h2H,1H2	-281.83	0	2600	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of CH2+P+H The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH2NH	CH3N	2053-29-4	InChI=1S/CH3N/c1-2/h2H,1H2	91.2	0	5534	0	0	0.00E+0	1	Estimation	Bibliography	Ruaud,M.etal.;2015;MonthlyNoticesofTheRoyalAstronomicalSociety;447,4004-4017	H2O	  The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3O	CH3O	2143-68-2	InChI=1S/CH3O/c1-2/h1H3	21±0.36	298	4400±1320	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH2SH	CH3S	17032-46-1	InChI=1S/CH3S/c1-2/h2H,1H2	150	0	3700±1110	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH4	CH4	74-82-8	InChI=1S/CH4/h1H4	-74.6±0.3	298	960±288	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH4	CH4	74-82-8	InChI=1S/CH4/h1H4	-74.6±0.3	298	1300	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH4+	CH4+	20741-88-2	InChI=1S/CH4/h1H4/q+1	1150±0.26	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CN	C2H3N	75-05-8	InChI=1S/C2H3N/c1-2-3/h1H3	74.04±0.37	298	4680±1404	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
CH3CN	C2H3N	75-05-8	InChI=1S/C2H3N/c1-2-3/h1H3	74.04±0.37	298	4680	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This value was deduced from Collings et al. (2004). This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
CH3CN+	C2H3N+	20818-40-0	InChI=1S/C2H3N/c1-2-3/h1H3/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2CHO	C2H3O	4400-01-5	InChI=1S/C2H3O/c1-2-3/h2H,1H2	12.753±8	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH3CO+	C2H3O+	NoData	InChI=1S/C2H3O/c1-2-3/h1H3/q+1	665.789±1.1	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
C2H4	C2H4	74-85-1	InChI=1S/C2H4/c1-2/h1-2H2	52.5±0.15	298	2500±750	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
C2H4	C2H4	74-85-1	InChI=1S/C2H4/c1-2/h1-2H2	52.5±0.15	298	3487	0	0	0.00E+0	1	Estimation	Database:OSU		H2O	 This binding energy was listed in the original OSU gas-grain code from Eric Herbst group in 2006. Energy of C2H3 + H. The pre-exponential factor is not given. It can be computed using the formula given in Hasegawa et al. (1992).
C2H4+	C2H4+	34470-02-5	InChI=1S/C2H4/c1-2/h1H,2H3/q+1	1074.46±0.15	298	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HC3NH+	C3H2N+	150767-63-8	InChI=1S/C3H2N/c1-2-3-4/h1,4H/q+1	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
c-C3H2O	C3H2O	NoData	1S/C3H2O/c4-3-1-2-3/h1-2H	140	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
HCCCHO	C3H2O	624-67-9	InChI=1S/C3H2O/c1-2-3-4/h1,3H	131	0	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData	NoData
CH2CCH	C3H3	2932-78-7	InChI=1S/C3H3/c1-3-2/h1H,2H2	348.427±8	298	3300±990	0	0	0.00E+0	1	Calculations	Bibliography	Wakelam,V.etal.;2017;ArXive-prints;,	H2O	 To estimate the unknown binding energies (for most of the radicals for example), we have developed a model founded on the stabilization energy of the complex between the various species and one water molecule. Then, we assume that the binding energy of the species with ASW is proportional to the energy of interaction between this species and one water molecule. To determine the proportionality coefficients, we fit the dependency of the experimental binding energies versus the calculated energies of the complexes for 16 stable molecules. Uncertainties in ED is estimated to be 30%. The preexponential factor is to be computed using the Hasegawa et al. (1992) approximation.
